PING 10.1.1.1 (10.1.1.1) 56(84) bytes of data.
64 字节，来自 10.1.1.1: icmp_seq=156 ttl=63 时间=75.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=157 ttl=63 时间=37.5 毫秒
64 字节，来自 10.1.1.1: icmp_seq=158 ttl=63 时间=76.9 毫秒
64 字节，来自 10.1.1.1: icmp_seq=160 ttl=63 时间=76.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=161 ttl=63 时间=76.1 毫秒
64 字节，来自 10.1.1.1: icmp_seq=162 ttl=63 时间=75.8 毫秒
64 字节，来自 10.1.1.1: icmp_seq=163 ttl=63 时间=77.3 毫秒
64 字节，来自 10.1.1.1: icmp_seq=164 ttl=63 时间=77.0 毫秒
64 字节，来自 10.1.1.1: icmp_seq=166 ttl=63 时间=76.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=168 ttl=63 时间=77.3 毫秒
64 字节，来自 10.1.1.1: icmp_seq=169 ttl=63 时间=38.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=170 ttl=63 时间=77.6 毫秒
64 字节，来自 10.1.1.1: icmp_seq=172 ttl=63 时间=77.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=173 ttl=63 时间=76.9 毫秒
64 字节，来自 10.1.1.1: icmp_seq=174 ttl=63 时间=76.6 毫秒
64 字节，来自 10.1.1.1: icmp_seq=175 ttl=63 时间=77.4 毫秒
64 字节，来自 10.1.1.1: icmp_seq=176 ttl=63 时间=76.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=177 ttl=63 时间=38.6 毫秒
64 字节，来自 10.1.1.1: icmp_seq=178 ttl=63 时间=77.0 毫秒
64 字节，来自 10.1.1.1: icmp_seq=180 ttl=63 时间=76.5 毫秒
64 字节，来自 10.1.1.1: icmp_seq=181 ttl=63 时间=78.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=182 ttl=63 时间=76.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=183 ttl=63 时间=78.4 毫秒
64 字节，来自 10.1.1.1: icmp_seq=184 ttl=63 时间=77.5 毫秒
64 字节，来自 10.1.1.1: icmp_seq=186 ttl=63 时间=76.1 毫秒
64 字节，来自 10.1.1.1: icmp_seq=188 ttl=63 时间=78.4 毫秒
64 字节，来自 10.1.1.1: icmp_seq=190 ttl=63 时间=78.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=191 ttl=63 时间=77.5 毫秒
64 字节，来自 10.1.1.1: icmp_seq=192 ttl=63 时间=78.0 毫秒
64 字节，来自 10.1.1.1: icmp_seq=194 ttl=63 时间=78.4 毫秒
64 字节，来自 10.1.1.1: icmp_seq=195 ttl=63 时间=76.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=196 ttl=63 时间=77.8 毫秒
64 字节，来自 10.1.1.1: icmp_seq=197 ttl=63 时间=78.0 毫秒
64 字节，来自 10.1.1.1: icmp_seq=198 ttl=63 时间=77.8 毫秒
64 字节，来自 10.1.1.1: icmp_seq=199 ttl=63 时间=39.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=200 ttl=63 时间=77.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=202 ttl=63 时间=78.2 毫秒
