PING 10.1.1.1 (10.1.1.1) 56(84) bytes of data.
64 字节，来自 10.1.1.1: icmp_seq=281 ttl=63 时间=68.4 毫秒
64 字节，来自 10.1.1.1: icmp_seq=282 ttl=63 时间=66.6 毫秒
64 字节，来自 10.1.1.1: icmp_seq=283 ttl=63 时间=33.3 毫秒
64 字节，来自 10.1.1.1: icmp_seq=284 ttl=63 时间=67.8 毫秒
64 字节，来自 10.1.1.1: icmp_seq=286 ttl=63 时间=67.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=288 ttl=63 时间=68.0 毫秒
64 字节，来自 10.1.1.1: icmp_seq=289 ttl=63 时间=33.9 毫秒
64 字节，来自 10.1.1.1: icmp_seq=290 ttl=63 时间=68.5 毫秒
64 字节，来自 10.1.1.1: icmp_seq=292 ttl=63 时间=68.6 毫秒
64 字节，来自 10.1.1.1: icmp_seq=293 ttl=63 时间=68.0 毫秒
64 字节，来自 10.1.1.1: icmp_seq=294 ttl=63 时间=67.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=295 ttl=63 时间=33.8 毫秒
64 字节，来自 10.1.1.1: icmp_seq=296 ttl=63 时间=67.0 毫秒
64 字节，来自 10.1.1.1: icmp_seq=297 ttl=63 时间=43.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=298 ttl=63 时间=85.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=300 ttl=63 时间=86.8 毫秒
64 字节，来自 10.1.1.1: icmp_seq=301 ttl=63 时间=42.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=302 ttl=63 时间=88.1 毫秒
64 字节，来自 10.1.1.1: icmp_seq=304 ttl=63 时间=87.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=305 ttl=63 时间=86.9 毫秒
64 字节，来自 10.1.1.1: icmp_seq=306 ttl=63 时间=86.5 毫秒
64 字节，来自 10.1.1.1: icmp_seq=307 ttl=63 时间=86.3 毫秒
64 字节，来自 10.1.1.1: icmp_seq=308 ttl=63 时间=85.9 毫秒
64 字节，来自 10.1.1.1: icmp_seq=309 ttl=63 时间=43.0 毫秒
64 字节，来自 10.1.1.1: icmp_seq=310 ttl=63 时间=87.1 毫秒
64 字节，来自 10.1.1.1: icmp_seq=312 ttl=63 时间=85.3 毫秒
64 字节，来自 10.1.1.1: icmp_seq=313 ttl=63 时间=84.9 毫秒
64 字节，来自 10.1.1.1: icmp_seq=314 ttl=63 时间=85.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=316 ttl=63 时间=86.3 毫秒
64 字节，来自 10.1.1.1: icmp_seq=317 ttl=63 时间=87.1 毫秒
64 字节，来自 10.1.1.1: icmp_seq=318 ttl=63 时间=85.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=319 ttl=63 时间=85.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=320 ttl=63 时间=85.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=322 ttl=63 时间=84.3 毫秒
64 字节，来自 10.1.1.1: icmp_seq=324 ttl=63 时间=85.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=325 ttl=63 时间=42.9 毫秒
64 字节，来自 10.1.1.1: icmp_seq=326 ttl=63 时间=83.6 毫秒
64 字节，来自 10.1.1.1: icmp_seq=328 ttl=63 时间=84.1 毫秒
64 字节，来自 10.1.1.1: icmp_seq=329 ttl=63 时间=84.4 毫秒
64 字节，来自 10.1.1.1: icmp_seq=330 ttl=63 时间=84.1 毫秒
64 字节，来自 10.1.1.1: icmp_seq=331 ttl=63 时间=42.2 毫秒
